feature_id,gene_symbol,gene_title,gene_symbol_raw,multiple_gene_symbols,has_gene_symbol,interpretable_probe,logFC_T1R_R1_vs_Borderline_non_reaction,average_expression,moderated_t,raw_p_value,adjusted_p_value,log_odds,regulation,abs_logFC
A_23_P329573,ITGB2,ITGB2,ITGB2,FALSE,TRUE,TRUE,1.152665845238095,5.207047247727273,5.1320807050984385,5.835160216514245e-6,2.728582883545245e-4,3.8592684663798034,Up_in_T1R_R1,1.152665845238095
A_24_P135748,GRTP1,GRTP1,GRTP1,FALSE,TRUE,TRUE,-1.037019186833332,0.20137769197727273,-5.125790989512278,5.959619722109299e-6,2.780629634580621e-4,3.8393697723527382,Down_in_T1R_R1,1.037019186833332
A_33_P3236676,C9orf152,C9orf152,C9orf152,FALSE,TRUE,TRUE,-1.5376353100952376,-1.65791256,-5.116503470279325,6.148210372514097e-6,2.8281402433112e-4,3.809997330329071,Down_in_T1R_R1,1.5376353100952376
A_23_P334883,SHANK2,SHANK2,SHANK2,FALSE,TRUE,TRUE,-1.2175596247142844,-0.9262937261363636,-5.086443068485379,6.799961012480788e-6,3.02576791494303e-4,3.715015188354834,Down_in_T1R_R1,1.2175596247142844
A_23_P64808,HOXC13,HOXC13,HOXC13,FALSE,TRUE,TRUE,-1.1068482794285706,-1.34462494,-5.0633955691996215,7.345462882935123e-6,3.1566462715570465e-4,3.642282616060176,Down_in_T1R_R1,1.1068482794285706
A_33_P3317618,SYN2,SYN2,SYN2,FALSE,TRUE,TRUE,-1.18901699575238,-0.08921341309090909,-5.062955717127784,7.356283058895674e-6,3.1566462715570465e-4,3.640895324628901,Down_in_T1R_R1,1.18901699575238
A_23_P131935,FERMT1,FERMT1,FERMT1,FALSE,TRUE,TRUE,-1.01412403855238,-0.2108832061818182,-5.020420799390345,8.480478398315295e-6,3.388343883304198e-4,3.5068812839684744,Down_in_T1R_R1,1.01412403855238
A_24_P260101,MME,MME,MME,FALSE,TRUE,TRUE,1.0785419076190468,-2.027297398181818,5.00983021259557,8.78578313546239e-6,3.4776666673996256e-4,3.473557800190629,Up_in_T1R_R1,1.0785419076190468
A_23_P432598,CHMP4C,CHMP4C,CHMP4C,FALSE,TRUE,TRUE,-1.0158793396238086,0.1811147914318182,-5.005275908795875,8.920385748321192e-6,3.497982804759123e-4,3.45923309913434,Down_in_T1R_R1,1.0158793396238086
A_23_P153571,IGFL2,IGFL2,IGFL2,FALSE,TRUE,TRUE,-1.3317254107142849,2.2414498475,-5.001578539703786,9.031156406236048e-6,3.5151156835079486e-4,3.4476061722558144,Down_in_T1R_R1,1.3317254107142849
A_33_P3336700,SHROOM3,SHROOM3,SHROOM3,FALSE,TRUE,TRUE,-1.1398365470666654,-1.7464158679090909,-4.98455400245101,9.558963296480202e-6,3.616076565681093e-4,3.3940985103098873,Down_in_T1R_R1,1.1398365470666654
A_32_P190303,LONRF2,LONRF2,LONRF2,FALSE,TRUE,TRUE,-1.2100044566666657,-2.9545129113636364,-4.983163931896747,9.603379225801038e-6,3.6181287578704226e-4,3.3897316398166355,Down_in_T1R_R1,1.2100044566666657
A_24_P146683,MSMB,MSMB,MSMB,FALSE,TRUE,TRUE,-1.3517633595238083,2.992246233181818,-4.972849720018316,9.93936222268542e-6,3.698562674976743e-4,3.357339724365871,Down_in_T1R_R1,1.3517633595238083
A_23_P403284,OTX1,OTX1,OTX1,FALSE,TRUE,TRUE,-1.302288536242857,0.6396614668409091,-4.972127464317033,9.96331917459309e-6,3.700056081889236e-4,3.3550721280147515,Down_in_T1R_R1,1.302288536242857
A_24_P222872,UGT1A6,UGT1A6,UGT1A6,FALSE,TRUE,TRUE,-1.0083695922285705,-0.8455331444545454,-4.919716836435275,1.18625788082455e-5,4.1374169255953286e-4,3.190757459686687,Down_in_T1R_R1,1.0083695922285705
A_23_P118894,PRR15L,PRR15L,PRR15L,FALSE,TRUE,TRUE,-1.4619482643285706,-1.416702113931818,-4.879164680004968,1.357309971804528e-5,4.503626933133517e-4,3.063946261632828,Down_in_T1R_R1,1.4619482643285706
A_24_P403561,LRP4,LRP4,LRP4,FALSE,TRUE,TRUE,-1.162684054999999,1.910994833409091,-4.876150840819787,1.3709515325527371e-5,4.534652831304328e-4,3.0545332990833858,Down_in_T1R_R1,1.162684054999999
A_23_P42746,NCF1,NCF1,NCF1,FALSE,TRUE,TRUE,1.439360573904761,1.786977619090909,4.8718713543461325,1.3905540977442687e-5,4.557577955555564e-4,3.041170216574206,Up_in_T1R_R1,1.439360573904761
A_32_P164246,FOXQ1,FOXQ1,FOXQ1,FALSE,TRUE,TRUE,-1.1182555430523795,0.3488616488863636,-4.870414694160413,1.3972892293716909e-5,4.557577955555564e-4,3.0366224174677283,Down_in_T1R_R1,1.1182555430523795
A_33_P3240747,LOC100130899,LOC100130899,LOC100130899,FALSE,TRUE,TRUE,-1.0156800109523805,2.4908838540909093,-4.850770880518084,1.4913156728213963e-5,4.7399170016169977e-4,2.9753306597350564,Down_in_T1R_R1,1.0156800109523805
A_23_P57658,HRASLS,HRASLS,HRASLS,FALSE,TRUE,TRUE,-1.6146933169666655,-1.368986128431818,-4.841765735925961,1.53647608225228e-5,4.8045480443489565e-4,2.9472568443795835,Down_in_T1R_R1,1.6146933169666655
A_33_P3396886,C11orf52,C11orf52,C11orf52,FALSE,TRUE,TRUE,-1.0446945266428564,0.3827820760681818,-4.82603653332354,1.618608881894891e-5,4.952086155610643e-4,2.8982566624324155,Down_in_T1R_R1,1.0446945266428564
A_23_P255104,LHFPL2,LHFPL2,LHFPL2,FALSE,TRUE,TRUE,1.0455252941904756,1.3355320877272727,4.817697086072716,1.6638923933500636e-5,5.027095451692119e-4,2.872296105791775,Up_in_T1R_R1,1.0455252941904756
A_23_P152235,IRX3,IRX3,IRX3,FALSE,TRUE,TRUE,-1.0419879108571422,0.459300305,-4.7961676293811,1.7866420639928987e-5,5.259396471386338e-4,2.805336240489665,Down_in_T1R_R1,1.0419879108571422
A_23_P99642,SLC7A7,SLC7A7,SLC7A7,FALSE,TRUE,TRUE,1.057434588428571,1.9650931429545455,4.794222018039706,1.7981642216683546e-5,5.27861097071977e-4,2.7992894629383036,Up_in_T1R_R1,1.057434588428571
A_23_P205959,ALDH1A3,ALDH1A3,ALDH1A3,FALSE,TRUE,TRUE,1.1565284714285706,-3.7975515181818182,4.745622488591437,2.110913429203748e-5,5.87829594725302e-4,2.648486240844224,Up_in_T1R_R1,1.1565284714285706
A_23_P500998,HOXA9,HOXA9,HOXA9,FALSE,TRUE,TRUE,-1.0954733533666667,-0.7723963049772727,-4.727355305038205,2.2418071116364016e-5,6.090750253859554e-4,2.5919249252546868,Down_in_T1R_R1,1.0954733533666667
A_32_P199551,SPTSSB,SPTSSB,SPTSSB,FALSE,TRUE,TRUE,-1.073164555904761,1.7819858677272726,-4.720911200983552,2.2898599729804203e-5,6.17327555981048e-4,2.571987949753338,Down_in_T1R_R1,1.073164555904761
A_32_P3476,RPRML,RPRML,RPRML,FALSE,TRUE,TRUE,-1.3281305271904753,-2.649293201590909,-4.711160621727309,2.364499371902578e-5,6.262664000568031e-4,2.5418374333492055,Down_in_T1R_R1,1.3281305271904753
A_23_P160159,SLC2A5,SLC2A5,SLC2A5,FALSE,TRUE,TRUE,1.31580495085238,0.05007677006818182,4.708571467554099,2.3847174180181384e-5,6.30616965857184e-4,2.5338345917544016,Up_in_T1R_R1,1.31580495085238
A_23_P64044,FERMT3,FERMT3,FERMT3,FALSE,TRUE,TRUE,1.0024776357142848,2.910600606818182,4.689710680881145,2.5372102727127156e-5,6.577309655906371e-4,2.475579492148813,Up_in_T1R_R1,1.0024776357142848
A_23_P3643,DNASE1L2,DNASE1L2,DNASE1L2,FALSE,TRUE,TRUE,-1.162332662619047,2.531461153409091,-4.660556226902658,2.7919624840313545e-5,6.901861878653415e-4,2.3856773057382084,Down_in_T1R_R1,1.162332662619047
A_23_P401606,EDIL3,EDIL3,EDIL3,FALSE,TRUE,TRUE,-1.1028241595238086,-2.4332375295454547,-4.653369431213165,2.8585231202356944e-5,7.017159659616915e-4,2.3635435178205517,Down_in_T1R_R1,1.1028241595238086
A_19_P00806473,XLOC_008115,XLOC_008115,XLOC_008115,FALSE,TRUE,TRUE,2.273782697899999,1.8250024650681815,4.641745479862177,2.9694899122035215e-5,7.197607658753856e-4,2.327767792006619,Up_in_T1R_R1,2.273782697899999
A_23_P79518,IL1B,IL1B,IL1B,FALSE,TRUE,TRUE,1.2647293704761895,-3.3265937727272727,4.6332366038373545,3.0533885718842034e-5,7.333684188107332e-4,2.3015980960966855,Up_in_T1R_R1,1.2647293704761895
A_33_P3262191,CPNE7,CPNE7,CPNE7,FALSE,TRUE,TRUE,1.0071996565952377,-1.6041342816590909,4.628902792819361,3.0970103172126885e-5,7.413183472775468e-4,2.288275203481109,Up_in_T1R_R1,1.0071996565952377
