feature_id,gene_symbol,gene_title,gene_symbol_raw,multiple_gene_symbols,has_gene_symbol,interpretable_probe,logFC_T1R_R1_vs_Borderline_non_reaction,average_expression,moderated_t,raw_p_value,adjusted_p_value,log_odds,regulation,abs_logFC
A_23_P32253,NFIL3,NFIL3,NFIL3,FALSE,TRUE,TRUE,0.36283405071904734,-0.1443739499772727,3.198083472613233,0.00252528237157623,0.01551580471094048,-1.7972120070757835,Up_in_T1R_R1,0.36283405071904734
A_32_P207169,C1orf133,C1orf133,C1orf133,FALSE,TRUE,TRUE,-0.4475285059523807,-1.5895763920454546,-3.19780184937896,0.00252729002175314,0.01552362740475861,-1.7979359086216655,Down_in_T1R_R1,0.4475285059523807
A_23_P80839,MAP6D1,MAP6D1,MAP6D1,FALSE,TRUE,TRUE,-0.30448386319047605,-1.0469097538636365,-3.1969532067884296,0.00253334899243712,0.01554770547952293,-1.8001170729387574,Down_in_T1R_R1,0.30448386319047605
A_23_P54116,DAAM1,DAAM1,DAAM1,FALSE,TRUE,TRUE,-0.6034360152714283,0.5930527457045455,-3.1968646000759673,0.00253398239986366,0.01554770547952293,-1.8003447875071732,Down_in_T1R_R1,0.6034360152714283
A_23_P152782,IFI35,IFI35,IFI35,FALSE,TRUE,TRUE,0.4320828628571425,0.4962691259090909,3.1968408208360892,0.00253415241185449,0.01554770547952293,-1.8004058982326183,Up_in_T1R_R1,0.4320828628571425
A_24_P55250,HDDC2,HDDC2,HDDC2,FALSE,TRUE,TRUE,-0.20145797552380937,-1.1001644822727272,-3.1961871549228964,0.00253883008228314,0.01556734629772953,-1.802085656723202,Down_in_T1R_R1,0.20145797552380937
A_23_P76078,IL23A,IL23A,IL23A,FALSE,TRUE,TRUE,0.613415703666666,-1.3820562997727273,3.1960847961332273,0.00253956330595057,0.01556734629772953,-1.802348674060256,Up_in_T1R_R1,0.613415703666666
A_33_P3390758,HSPA8,HSPA8,HSPA8,FALSE,TRUE,TRUE,0.2940004445476188,-0.7017864603409091,3.1956359667671954,0.00254278075469607,0.01558254973362023,-1.8035019077716663,Up_in_T1R_R1,0.2940004445476188
A_23_P13740,NAV3,NAV3,NAV3,FALSE,TRUE,TRUE,-0.5107486183047617,-0.9153532392727272,-3.1954376334888375,0.00254420374023876,0.01558675079816999,-1.804011478470466,Down_in_T1R_R1,0.5107486183047617
A_24_P218688,ALDH3B1,ALDH3B1,ALDH3B1,FALSE,TRUE,TRUE,0.5207578515666662,-0.10290489902272729,3.19389788436602,0.00255527662884617,0.01564098662823419,-1.8079668357377685,Up_in_T1R_R1,0.5207578515666662
A_23_P146456,CTSL2,CTSL2,CTSL2,FALSE,TRUE,TRUE,-0.8593184425904755,1.4642207642727272,-3.192863428047477,0.00256274132762494,0.01567759788731717,-1.8106235177148136,Down_in_T1R_R1,0.8593184425904755
A_23_P251499,PCOLCE,PCOLCE,PCOLCE,FALSE,TRUE,TRUE,0.5193951607761902,0.5455793919772727,3.191356309861922,0.00257365366168121,0.01573979855130038,-1.8144931319087496,Up_in_T1R_R1,0.5193951607761902
A_23_P214666,RPS18,RPS18,RPS18,FALSE,TRUE,TRUE,-0.2204894737523808,0.20484694331818185,-3.191226338365396,0.00257459677722959,0.01574101171059433,-1.8148267883234304,Down_in_T1R_R1,0.2204894737523808
A_33_P3236703,ANKRD18B,ANKRD18B,ANKRD18B,FALSE,TRUE,TRUE,-0.5904057522952378,-0.9742056198636364,-3.1907747869219203,0.00257787591975734,0.01575650244071465,-1.8159859234709437,Down_in_T1R_R1,0.5904057522952378
A_23_P5586,MPHOSPH10,MPHOSPH10,MPHOSPH10,FALSE,TRUE,TRUE,-0.2609951405333331,-0.03454182531818181,-3.189397704083854,0.0025879006007635,0.01580406446048468,-1.8195202752415716,Down_in_T1R_R1,0.2609951405333331
A_23_P111381,ATG5,ATG5,ATG5,FALSE,TRUE,TRUE,0.23134128540476168,-0.5828249760227273,3.1890026419717077,0.00259078330485429,0.01581253131140641,-1.820534047259394,Up_in_T1R_R1,0.23134128540476168
A_23_P128783,EAPP,EAPP,EAPP,FALSE,TRUE,TRUE,-0.2229174099095237,0.22730149897727273,-3.1888570858527925,0.00259184616862646,0.01581445168016423,-1.8209075403408308,Down_in_T1R_R1,0.2229174099095237
A_24_P627306,EDEM2,EDEM2,EDEM2,FALSE,TRUE,TRUE,0.3735108479095236,0.02440345393181818,3.1887527431663782,0.0025926083416661,0.01581453677040543,-1.8211752743593,Up_in_T1R_R1,0.3735108479095236
A_24_P261417,DKK3,DKK3,DKK3,FALSE,TRUE,TRUE,-0.34957222576190455,-1.2590999220454546,-3.1881335280321657,0.0025971357675058,0.01583672394136043,-1.8227640133280711,Down_in_T1R_R1,0.34957222576190455
A_23_P205830,BTBD1,BTBD1,BTBD1,FALSE,TRUE,TRUE,0.2856694021761902,0.06199291175,3.1880503873775345,0.00259774422334863,0.01583672394136043,-1.822977315245022,Up_in_T1R_R1,0.2856694021761902
A_24_P68019,ZNF551,ZNF551,ZNF551,FALSE,TRUE,TRUE,-0.2598555161428569,-0.3158780565909091,-3.187312962018636,0.00260314688690462,0.01586508437186161,-1.82486906948978,Down_in_T1R_R1,0.2598555161428569
A_23_P78108,ALDOC,ALDOC,ALDOC,FALSE,TRUE,TRUE,-0.3333758878571426,-1.2645735511363636,-3.187095559762924,0.00260474168438869,0.01586565424819578,-1.8254267305789744,Down_in_T1R_R1,0.3333758878571426
A_33_P3287039,TFPT,TFPT,TFPT,FALSE,TRUE,TRUE,0.2473884839999999,-0.5101387483636364,3.1866026466441677,0.00260836096521977,0.01588277939540649,-1.826691020413982,Up_in_T1R_R1,0.2473884839999999
A_23_P149678,PIAS3,PIAS3,PIAS3,FALSE,TRUE,TRUE,-0.3074203036380951,-0.02296966159090908,-3.1862489457863687,0.00261096098768462,0.01588640922448418,-1.8275981651499444,Down_in_T1R_R1,0.3074203036380951
A_23_P433132,KRTCAP3,KRTCAP3,KRTCAP3,FALSE,TRUE,TRUE,-0.39651123657619014,-0.35240303175,-3.18568996119113,0.00261507502350355,0.01590110060321377,-1.829031678391078,Down_in_T1R_R1,0.39651123657619014
A_33_P3317664,MGAT1,MGAT1,MGAT1,FALSE,TRUE,TRUE,0.5130092086714282,0.8094514726590909,3.1855364848215757,0.00261620565541072,0.01590340026826603,-1.8294252404698907,Up_in_T1R_R1,0.5130092086714282
