feature_id,gene_symbol,gene_title,gene_symbol_raw,multiple_gene_symbols,has_gene_symbol,interpretable_probe,logFC_T1R_R1_vs_Borderline_non_reaction,average_expression,moderated_t,raw_p_value,adjusted_p_value,log_odds,regulation,abs_logFC
A_24_P176493,ATMIN,ATMIN,ATMIN,FALSE,TRUE,TRUE,-0.10373596115238091,-0.00908120486363636,-1.08409866044133,0.28405912009858275,0.4585559888798324,-5.78072913011172,Not_significant,0.10373596115238091
A_23_P364890,RNF40,RNF40,RNF40,FALSE,TRUE,TRUE,-0.14485808503809516,-0.5848319374090909,-1.0837233014014749,0.2842237705248267,0.4587395009621309,-5.781122175515133,Not_significant,0.14485808503809516
A_24_P75072,SMUG1,SMUG1,SMUG1,FALSE,TRUE,TRUE,-0.113057165095238,-1.1582232906818182,-1.0837027792759737,0.2842327744346661,0.4587395009621309,-5.7811436608930435,Not_significant,0.113057165095238
A_32_P205944,RGPD5,RGPD5,RGPD5,FALSE,TRUE,TRUE,-0.08543100999523799,0.09116220447727272,-1.083644370316077,0.284258401966138,0.4587395009621309,-5.781204809298746,Not_significant,0.08543100999523799
A_23_P361405,HYAL3,HYAL3,HYAL3,FALSE,TRUE,TRUE,-0.16175254994285695,-1.0660766426363637,-1.083641603408472,0.2842596160153779,0.4587395009621309,-5.781207705899925,Not_significant,0.16175254994285695
A_24_P100351,GNL3L,GNL3L,GNL3L,FALSE,TRUE,TRUE,0.07185438951904757,-0.24114488393181815,1.083186162974453,0.2844595012136714,0.45895694791237857,-5.781684398689647,Not_significant,0.07185438951904757
A_23_P142631,FKBP1B,FKBP1B,FKBP1B,FALSE,TRUE,TRUE,0.086288750595238,-0.2958210626136364,1.083044794027027,0.28452156566729164,0.45902204503044625,-5.781832325746093,Not_significant,0.086288750595238
A_23_P401547,PVRL3,PVRL3,PVRL3,FALSE,TRUE,TRUE,0.14070021666666657,-2.105713615909091,1.0828984177206398,0.2845858384519036,0.4590803511828691,-5.781985473165939,Not_significant,0.14070021666666657
A_33_P3226167,FAM129B,FAM129B,FAM129B,FALSE,TRUE,TRUE,-0.1195643832190476,-0.664224483909091,-1.082863557247738,0.28460114693173416,0.4590803511828691,-5.782021943330547,Not_significant,0.1195643832190476
A_23_P24365,ANKRD49,ANKRD49,ANKRD49,FALSE,TRUE,TRUE,0.07889409036190471,0.16262049518181818,1.0826992571144745,0.2846733047449784,0.4591569507412765,-5.782193815082096,Not_significant,0.07889409036190471
A_24_P250650,RABL2A,RABL2A,RABL2A,FALSE,TRUE,TRUE,-0.0739448920952381,0.8851463454545454,-1.0826503399701946,0.2846947907902774,0.4591569507412765,-5.782244981751032,Not_significant,0.0739448920952381
A_23_P165180,RFXANK,RFXANK,RFXANK,FALSE,TRUE,TRUE,-0.04035512076190482,-0.7082403263636363,-1.082607051090136,0.2847138056593097,0.4591569507412765,-5.782290259504098,Not_significant,0.04035512076190482
A_33_P3210379,SCGB3A1,SCGB3A1,SCGB3A1,FALSE,TRUE,TRUE,-0.065239189947619,0.2045998921590909,-1.0824763819802643,0.2847712081403431,0.45921448502741224,-5.782426921692235,Not_significant,0.065239189947619
A_24_P238543,PHKA1,PHKA1,PHKA1,FALSE,TRUE,TRUE,-0.14799763239047617,-0.6393822672272728,-1.0822156000045386,0.2848857929303071,0.4593291722766779,-5.7826996175626615,Not_significant,0.14799763239047617
A_33_P3229032,CLEC11A,CLEC11A,CLEC11A,FALSE,TRUE,TRUE,0.11460669121428564,-0.5703191876136363,1.0821253708711944,0.2849254461425182,0.4593580648106991,-5.782793954333684,Not_significant,0.11460669121428564
A_23_P321452,PDZD8,PDZD8,PDZD8,FALSE,TRUE,TRUE,-0.11428142943333326,-0.05954580406818181,-1.0813651660760966,0.28525968833063414,0.4598618543632281,-5.783588470989575,Not_significant,0.11428142943333326
A_23_P256773,TSSC1,TSSC1,TSSC1,FALSE,TRUE,TRUE,-0.06012395166666666,-0.8586906665909091,-1.081162644266332,0.28534877807755565,0.4599537988527134,-5.783800044324685,Not_significant,0.06012395166666666
A_33_P3275959,SLC25A16,SLC25A16,SLC25A16,FALSE,TRUE,TRUE,0.09255774776190465,0.6677682261363637,1.081136577681936,0.2853602462318145,0.4599537988527134,-5.783827273201771,Not_significant,0.09255774776190465
A_23_P49009,LPCAT4,LPCAT4,LPCAT4,FALSE,TRUE,TRUE,0.10889541876190469,-0.69551466,1.0804920752517664,0.28564390145983704,0.4603407930808323,-5.784500315626371,Not_significant,0.10889541876190469
A_23_P107994,TMEM160,TMEM160,TMEM160,FALSE,TRUE,TRUE,0.06011683933333337,-0.922532814090909,1.0801823417083294,0.2857802899025695,0.46050269056132925,-5.784823629466775,Not_significant,0.06011683933333337
A_24_P227971,TP53TG3,TP53TG3,TP53TG3,FALSE,TRUE,TRUE,0.10121091043809503,0.21003648013636364,1.0801649832285485,0.28578793490220267,0.46050269056132925,-5.784841746429743,Not_significant,0.10121091043809503
A_24_P94402,MYCN,MYCN,MYCN,FALSE,TRUE,TRUE,0.2142769878523809,0.14260178302272727,1.0800225990218122,0.28585064896463,0.460533525155608,-5.784990341730866,Not_significant,0.2142769878523809
